productID,env,id,title,order,href,placementType,topic,topicOrder,type,frontText,backText,responseID,errors
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226639,FC1_001,1,QUE_226639.xml,topic,"Essential Vocabulary",1,DUMMIES,vacuous,empty,"01J1WDQ55HF1WYGRJ3KMVST8ZS",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226640,FC1_002,2,QUE_226640.xml,topic,"Essential Vocabulary",1,DUMMIES,quarantine,"the enforced isolation of any person or place infected with contagious disease","01J1WDQ5R8DHR9MXYEJEMN04V1",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226641,FC1_003,3,QUE_226641.xml,topic,"Essential Vocabulary",1,DUMMIES,opulent,"wealthy, rich, abundant","01J1WDQ60MM8A21DDPNH987B2Z",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226642,FC1_004,4,QUE_226642.xml,topic,"Essential Vocabulary",1,DUMMIES,marvel,"to be astonished and perplexed because of (something)","01J1WDQ688YHWDKEJ2ADWHTK06",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226643,FC1_005,5,QUE_226643.xml,topic,"Essential Vocabulary",1,DUMMIES,conspire,"to plot","01J1WDQ6PEGZJJH538K3226Q3N",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226644,FC1_006,6,QUE_226644.xml,topic,"Essential Vocabulary",1,DUMMIES,discrepant,"differing, inconsistent","01J1WDQ6XAE0VGETVZBD0RBWD7",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226645,FC1_007,7,QUE_226645.xml,topic,"Essential Vocabulary",1,DUMMIES,exceed,"to go beyond, as in measure, quality, value, action, power, skill, and so on","01J1WDQ749B26X6N79S2ZMTEM0",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226646,FC1_008,8,QUE_226646.xml,topic,"Essential Vocabulary",1,DUMMIES,frugal,economical,"01J1WDQ7MSSAXCG4KDR7KA1ZB0",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226647,FC1_009,9,QUE_226647.xml,topic,"Essential Vocabulary",1,DUMMIES,wreak,"to inflict, as a revenge or punishment","01J1WDQ7WX0H0S0BCD9HWRGXER",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226648,FC1_010,10,QUE_226648.xml,topic,"Essential Vocabulary",1,DUMMIES,volatile,changeable,"01J1WDQ84KQJE1PGWF2S5EVDAN",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226649,FC1_011,11,QUE_226649.xml,topic,"Essential Vocabulary",1,DUMMIES,simulate,"to imitate","01J1WDQ8NTPPXG29ERSBXG4C20",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226650,FC1_012,12,QUE_226650.xml,topic,"Essential Vocabulary",1,DUMMIES,oration,"an elaborate or formal public speech","01J1WDQ8X031J90WYVJ3Y6F8NZ",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226651,"241187 2425 ASVABFD_vFC_013",13,QUE_226651.xml,topic,"Essential Vocabulary",1,DUMMIES,loathe,"to feel intense dislike for","01J1WDQ93SJZZSX4VV81Q7EMMB",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226652,"241187 2425 ASVABFD_vFC_014",14,QUE_226652.xml,topic,"Essential Vocabulary",1,DUMMIES,loath,"reluctant or unwilling","01J1WDQ9AZPF1JM5GCGJ6VHJ6J",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226653,FC1_015,15,QUE_226653.xml,topic,"Essential Vocabulary",1,DUMMIES,genesis,creation,"01J1WDQ9J5GPS605KQKTBJE7HW",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226654,FC1_016,16,QUE_226654.xml,topic,"Essential Vocabulary",1,DUMMIES,culpable,guilty,"01J1WDQ9RY5QR1EBS04CH247WD",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226655,FC1_017,17,QUE_226655.xml,topic,"Essential Vocabulary",1,DUMMIES,collide,"to meet and strike violently","01J1WDQA42S9MZ501CA43X6W8Z",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226656,FC1_018,18,QUE_226656.xml,topic,"Essential Vocabulary",1,DUMMIES,disseminate,"to circulate","01J1WDQAAATYGC7THJMF6TMZKY",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226657,FC1_019,19,QUE_226657.xml,topic,"Essential Vocabulary",1,DUMMIES,authentic,"of undisputed origin","01J1WDQAGVNEP4HWEGYY75K2RC",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226658,FC1_020,20,QUE_226658.xml,topic,"Essential Vocabulary",1,DUMMIES,facsimile,"an exact copy or reproduction","01J1WDQAPQ96F3T2R8C704MJCR",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226659,FC1_021,21,QUE_226659.xml,topic,"Essential Vocabulary",1,DUMMIES,intervene,"to interfere for some end","01J1WDQB1YHXXQ2FFVDNTKBGAW",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226660,FC1_022,22,QUE_226660.xml,topic,"Essential Vocabulary",1,DUMMIES,monotony,"a lack of variety","01J1WDQB9NK7NYEZ257YQHTYQ5",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226661,"241187 2425 ASVABFD_vFC_023",23,QUE_226661.xml,topic,"Essential Vocabulary",1,DUMMIES,rendition,"performance or interpretation","01J1WDQBGB5SKB9RZ7MS1RWVQ4",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226662,FC1_024,24,QUE_226662.xml,topic,"Essential Vocabulary",1,DUMMIES,zephyr,"any soft, gentle wind","01J1WDQBRPD4MB7RJND1GDN805",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226663,FC1_025,25,QUE_226663.xml,topic,"Essential Vocabulary",1,DUMMIES,transcend,"to surpass","01J1WDQBZ3EN53BZ0DXAKFXFM5",
"1c85d135-558a-4cc0-821a-6e0c9a43b08f",PROD,QUE_226664,"241187 2425 ASVABFD_vFC_026",26,QUE_226664.xml,topic,"Essential Vocabulary",1,DUMMIES,fluctuate,"to rise and fall, or otherwise change, irregularly","01J1WDQC5S509ER1DPTGH1FDFS",
