projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"ffa71d14-9c98-4a49-995b-5f2e73032b2d",fc513124.ITFunSG2E.001,1,"fc513124.ITFunSG2E.001.xml",coursewide,,,SYBEX,"What is the purpose of the motherboard?","Connects all components together","01JBVTAQM3ZMR5APGCWM025Z5P",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"28d6034b-5e7e-4cb1-81f7-53ec35fe67cf",fc513124.ITFunSG2E.002,2,"fc513124.ITFunSG2E.002.xml",coursewide,,,SYBEX,"What is the purpose of the CPU?","Processes data","01JBVTAQSARRN9HE8M1G3TQ84N",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"eef50b9d-4019-411f-8424-1d5a3ab49483",fc513124.ITFunSG2E.003,3,"fc513124.ITFunSG2E.003.xml",coursewide,,,SYBEX,"What is the purpose of RAM?","Temporary data storage; it makes the computer faster","01JBVTAQYNAZS68324XM03X4TZ",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"e645c1c8-1239-41ac-b58d-2b1d95ac2164",fc513124.ITFunSG2E.004,4,"fc513124.ITFunSG2E.004.xml",coursewide,,,SYBEX,"What is the purpose of HDDs and SSDs?","Long&hyphen;term data storage","01JBVTAR40ZEJW92N15GS4GCHS",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"f4e9ae96-6cd9-4c27-bc01-7782bd2f9680",fc513124.ITFunSG2E.005,5,"fc513124.ITFunSG2E.005.xml",coursewide,,,SYBEX,"What is the purpose of optical discs?","Data storage (that&rsquo;s removable)","01JBVTAPYFQ74NJ7PQGK2GFTK5",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"f7fd8901-8c6f-4388-a284-be86934d0606",fc513124.ITFunSG2E.006,6,"fc513124.ITFunSG2E.006.xml",coursewide,,,SYBEX,"What does the power supply do?","Converts AC power to DC power for system components","01JBVTAQ3RBNQXNTMP0PX5425E",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"c41701c8-20c4-463d-8759-2d8f047df335",fc513124.ITFunSG2E.007,7,"fc513124.ITFunSG2E.007.xml",coursewide,,,SYBEX,"What is a PSU?","Power supply unit","01JBVTAQ9B8JCVX9VD6TRFYZDP",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"08a7223f-27fb-4bb5-86d1-f824c82e5864",fc513124.ITFunSG2E.008,8,"fc513124.ITFunSG2E.008.xml",coursewide,,,SYBEX,"What is a GPU?","Graphics processing unit","01JBVTAQEKCDAGQDV7P087WHD4",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"b85149cd-575b-4f9e-93f7-b5ded0c7fe68",fc513124.ITFunSG2E.009,9,"fc513124.ITFunSG2E.009.xml",coursewide,,,SYBEX,"What are two types of communications expansion cards?","NICs (network interface cards) and modems","01JBVTAPT9EQD5JDK9NE4RGZEB",
"dc264efc-42ed-4720-8572-4ca464ea0e40",PROD,"178e8bbf-dc74-4e37-94d3-5bfa307fb141",fc513124.ITFunSG2E.010,10,"fc513124.ITFunSG2E.010.xml",coursewide,,,SYBEX,"Which expansion card communicates with other computers over telephone lines?",Modem,"01JBVTAPZK2PSAZ5KHEPWMR3W3",
