productID,env,id,title,order,href,placementType,topic,topicOrder,type,frontText,backText,responseID,errors
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220169,911648 GRE 8E_FC_001,1,QUE_220169.xml,topic,Vocabulary,1,DUMMIES,bowdlerize,"To omit strong words or phrases from something written, thus reducing its effectiveness",01HWMYZGJ89AR6AN5ZBF6M1XDG,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220170,911648 GRE 8E_FC_002,2,QUE_220170.xml,topic,Vocabulary,1,DUMMIES,draconian,Extremely harsh and severe,01HWMYZH43XHBZE2X7JVM7YFS1,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220171,911648 GRE 8E_FC_003,3,QUE_220171.xml,topic,Vocabulary,1,DUMMIES,maverick,"An individualist, an unconventional person",01HWMYZHB3BPC0AX5YAB5WKFD3,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220172,911648 GRE 8E_FC_004,4,QUE_220172.xml,topic,Vocabulary,1,DUMMIES,quisling,A traitor,01HWMYZHHYYM1H7PG9Z05HP4NS,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220173,183371 GRE 2024_FC_005,5,QUE_220173.xml,topic,Vocabulary,1,DUMMIES,disabuse,Free from a misconception ,01HWMYZHRDV178JDNJ0Q327TC2,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220174,911648 GRE 8E_FC_006,6,QUE_220174.xml,topic,Vocabulary,1,DUMMIES,mausoleum,A large tomb or memorial,01HWMYZHYVJCFXPSJ819AAM9PR,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220175,183371 GRE 2024_FC_007,7,QUE_220175.xml,topic,Vocabulary,1,DUMMIES,gregarious,"Talkative, friendly, outgoing",01HWMYZJ5KCVTXZ5QB7SCBHMNF,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220176,911648 GRE 8E_FC_008,8,QUE_220176.xml,topic,Vocabulary,1,DUMMIES,shrapnel,Fragments thrown out by a shell or a bomb,01HWMYZJGW09EEBA9FKG8PE2A9,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220177,911648 GRE 8E_FC_009,9,QUE_220177.xml,topic,Vocabulary,1,DUMMIES,silhouette,"A profile portrait; a figure outline, often reversed against a background",01HWMYZJQTE12APBWK3ABB5EHT,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220178,911648 GRE 8E_FC_010,10,QUE_220178.xml,topic,Vocabulary,1,DUMMIES,aberrant,Abnormal; different from the accepted norm,01HWMYZJYJQKBGNCBGQMY7TN90,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220179,911648 GRE 8E_FC_011,11,QUE_220179.xml,topic,Vocabulary,1,DUMMIES,abeyance,State of suspension; temporary inaction,01HWMYZK5BPVFK46WEP4E4PPHK,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220180,911648 GRE 8E_FC_012,12,QUE_220180.xml,topic,Vocabulary,1,DUMMIES,abstemious,"Indicative of self-denial, particularly with food or drink",01HWMYZKC7G15J3XQT5MSZJSY4,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220181,911648 GRE 8E_FC_013,13,QUE_220181.xml,topic,Vocabulary,1,DUMMIES,acrid,Having an irritatingly strong and unpleasant taste or smell; pungent,01HWMYZKJWC773T0N48RB4RWB4,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220182,911648 GRE 8E_FC_014,14,QUE_220182.xml,topic,Vocabulary,1,DUMMIES,acrimonious,"Bitter in temper, manner, and speech",01HWMYZKS0C8NMZ841QZSW3PEK,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220183,911648 GRE 8E_FC_015,15,QUE_220183.xml,topic,Vocabulary,1,DUMMIES,acquiescent,Agreeing without protest,01HWMYZKZ0ZJY59W356CV2380R,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220184,911648 GRE 8E_FC_016,16,QUE_220184.xml,topic,Vocabulary,1,DUMMIES,acumen,Keenness; the possession of quick intellectual insight,01HWMYZM51AMKKSDBKW3PZ6RGN,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220185,911648 GRE 8E_FC_017,17,QUE_220185.xml,topic,Vocabulary,1,DUMMIES,admonition,A gentle reproof or scolding,01HWMYZMBKMF5H61GPAQ79SBGE,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220186,911648 GRE 8E_FC_018,18,QUE_220186.xml,topic,Vocabulary,1,DUMMIES,affront,"Insult, offense, indignity (noun); to offend (verb)",01HWMYZMJES3SVAXDKFBF46TX6,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220187,911648 GRE 8E_FC_019,19,QUE_220187.xml,topic,Vocabulary,1,DUMMIES,aggrandize,To raise the wealth or power of; to heighten the reputation of,01HWMYZMREQKRZ46NENHGA4EKM,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220188,911648 GRE 8E_FC_020,20,QUE_220188.xml,topic,Vocabulary,1,DUMMIES,aggregate,Amounting to a whole,01HWMYZMYHH0HYGT1BWKZ0FH5Q,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220189,911648 GRE 8E_FC_021,21,QUE_220189.xml,topic,Vocabulary,1,DUMMIES,allay,"To calm; to put to rest (fear, pain, etc.)",01HWMYZN4HXBPGSH8VQNQM2VTC,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220190,911648 GRE 8E_FC_022,22,QUE_220190.xml,topic,Vocabulary,1,DUMMIES,amalgamate,To mix or blend together in a homogenous body,01HWMYZNAJPDN81JQGKBS69BH1,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220191,911648 GRE 8E_FC_023,23,QUE_220191.xml,topic,Vocabulary,1,DUMMIES,ameliorate,"To make better, to improve",01HWMYZNGRRF2TJGXZGMN9BJ1Q,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220192,911648 GRE 8E_FC_024,24,QUE_220192.xml,topic,Vocabulary,1,DUMMIES,anecdote,"A short, entertaining account of an event",01HWMYZNPNKFK4PDNWZ9CZJFE4,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220193,911648 GRE 8E_FC_025,25,QUE_220193.xml,topic,Vocabulary,1,DUMMIES,archipelago,A large group of islands,01HWMYZNWVSV89CFN6WS59J08Y,
3da45516-330b-4c95-a303-4d597d40dd58,PROD,QUE_220194,911648 GRE 8E_FC_026,26,QUE_220194.xml,topic,Vocabulary,1,DUMMIES,artifice,Trickery; deceit,01HWMYZP2W8VAWPCQTBEZAXWSN,
