projectId,env,qtiId,title,order,href,placementType,topic,topicOrder,source,frontText,backText,resourceId,errors
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"85147451-ec8e-4ffd-9c3f-5c435f90e293","fc584704.JaSE11PrgISG.f1.001",1,"fc584704.JaSE11PrgISG.f1.001.xml",coursewide,,,SYBEX,"How do you negate a <code>boolean</code> value?","You cannot negate a <code>boolean</code> value, at least not numerically using the minus operator, <code>-</code>. You can invert the <code>boolean</code> value using the logical complement operator.","01JBH40N8JWS79B1SJ8CZG9H1Y",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"444007dd-00ec-485a-b174-f98b58161d9c","fc584704.JaSE11PrgISG.f1.002",2,"fc584704.JaSE11PrgISG.f1.002.xml",coursewide,,,SYBEX,"Which are immutable: <code>String</code>, <code>StringBuilder</code>, <code>StringBuffer</code>, arrays, or <code>ArrayList</code>?","<code>String</code> is the only immutable class in the list.","01JBH40NDR66JEV7RSJ307BB47",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"0bcd94c5-a5b6-4528-b0e4-dcfb4ec050e3","fc584704.JaSE11PrgISG.f1.003",3,"fc584704.JaSE11PrgISG.f1.003.xml",coursewide,,,SYBEX,"True or false? The first line of every constructor is a call to the parent constructor via the <code>super()</code> command.","False. A method may instead call <code>this()</code> as the first line of the constructor instead of <code>super()</code>, although it will eventually resolve to a constructor that calls <code>super()</code> as its first line.","01JBH40NJXTMW37GS3JVPKAYCX",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"c715b8c9-18ce-445c-93f1-7a6b5e68e078","fc584704.JaSE11PrgISG.f1.004",4,"fc584704.JaSE11PrgISG.f1.004.xml",coursewide,,,SYBEX,"What is the difference between <code>super()</code> and <code>super</code>?","The <code>super()</code> command calls the constructor of the parent class and is used in the first line of every child constructor, whereas <code>super</code> is a keyword used to reference a member of the parent class.","01JBH40NR4QW75G23PSGA1XMW9",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"8d4159d6-8697-4b38-8dad-79077511cf0c","fc584704.JaSE11PrgISG.f1.005",5,"fc584704.JaSE11PrgISG.f1.005.xml",coursewide,,,SYBEX,"A <code>try</code> statement is allowed to have how many <code>finally</code> blocks?","Zero or one","01JBH40NXG1DW0FG7WCQF0ZRV7",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"8607c713-e461-4475-a708-2bc3290147d9","fc584704.JaSE11PrgISG.f1.006",6,"fc584704.JaSE11PrgISG.f1.006.xml",coursewide,,,SYBEX,"What keyword would be used for a class that extends an interface?","Trick question! A class cannot extend an interface.","01JBH40P33FGWZGS8Y0TCYWWE4",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"14a48966-5dcb-4fc1-9d7b-f66c8e06589d","fc584704.JaSE11PrgISG.f1.007",7,"fc584704.JaSE11PrgISG.f1.007.xml",coursewide,,,SYBEX,"What is <code>12 % 5 - 1</code>?",<code>1</code>,"01JBH40P8314W34M5BXEQGW7BW",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"3e751437-c154-482d-a042-57283ba6cd06","fc584704.JaSE11PrgISG.f1.008",8,"fc584704.JaSE11PrgISG.f1.008.xml",coursewide,,,SYBEX,"True or false? The <code>break</code> or <code>continue</code> statement requires a semicolon when used without optional labels.",True,"01JBH40N3SXVHABPYVWF3HCJM5",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"4aaf52ab-7293-4c38-be25-3ceae88351e4","fc584704.JaSE11PrgISG.f1.009",9,"fc584704.JaSE11PrgISG.f1.009.xml",coursewide,,,SYBEX,"What are the default values for these instance variables: <code>String s</code>; <code>int num</code>; <code>boolean b</code>; <code>double d</code>?","<code>s = null</code>; <code>num = 0</code>; <code>b = false</code>; <code>d = 0.0</code>","01JBH40N9BZ88MD46CNK2E2NPM",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"3aef9e76-23f6-4774-aab1-2c21db96c144","fc584704.JaSE11PrgISG.f1.010",10,"fc584704.JaSE11PrgISG.f1.010.xml",coursewide,,,SYBEX,"Which of the following variables can <code>null</code> be assigned to? <code>String s</code>; <code>Object o</code>; <code>int num</code>; <code>boolean b</code>","<code>String s</code> and <code>Object o</code> can be assigned <code>null</code> because they are objects. <code>int</code> and <code>boolean</code> are primitives and so cannot be assigned <code>null</code>.","01JBH40NF1R4QQG209DF9K11FA",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"e596f9c3-28f3-439f-a106-2ad3338fadc2","fc584704.JaSE11PrgISG.f1.011",11,"fc584704.JaSE11PrgISG.f1.011.xml",coursewide,,,SYBEX,"What characters can a variable name begin with?","A letter, dollar sign (<code>$</code>), or underscore (<code>_</code>)","01JBH40NMFW2EAP4X49KNE3F2C",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"7f509e51-14ef-4f6d-9711-aed936a81b97","fc584704.JaSE11PrgISG.f1.012",12,"fc584704.JaSE11PrgISG.f1.012.xml",coursewide,,,SYBEX,"What characters may a variable name end with?","A letter, number, dollar sign (<code>$</code>), or underscore (<code>_</code>)","01JBH40NT0DQD6XJ9M1T1FKBNW",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"ca431c95-859a-4e3f-b942-fed06d59dfce","fc584704.JaSE11PrgISG.f1.013",13,"fc584704.JaSE11PrgISG.f1.013.xml",coursewide,,,SYBEX,"Are curly brackets, <code>{ }</code>, required in <code>if-then</code> statements?","No, they are optional if there is only one statement in the branch of the <code>if</code> statement.","01JBH40NZ8TF5ZC6F1PFWF72XR",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"061d4000-21c6-4534-8099-85fef7291663","fc584704.JaSE11PrgISG.f1.014",14,"fc584704.JaSE11PrgISG.f1.014.xml",coursewide,,,SYBEX,"The bytecode for a class named <code>Hello</code> in the <code>a.b.c</code> package must appear in what directory structure?","The file <code>Hello.class</code> must be in the subdirectory <code>a/b/c</code>.","01JBH40P49FQRTAZH3NN9ARFP1",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"d9b7c52e-4705-49bb-a811-c160af1ef786","fc584704.JaSE11PrgISG.f1.015",15,"fc584704.JaSE11PrgISG.f1.015.xml",coursewide,,,SYBEX,"What is the most common signature of a main() method?","<code>public static void main(String[] args)</code>","01JBH40P9VSX75ND6EQZAZ2G8R",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"879d2546-b9ee-45df-bb30-a1a8500caf1c","fc584704.JaSE11PrgISG.f1.016",16,"fc584704.JaSE11PrgISG.f1.016.xml",coursewide,,,SYBEX,"An instance of a class is called a(n) _________________.",<code>Object</code>,"01JBH40JEKEWJR627RF2ABAR1P",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"4a2e0ab6-4550-45e1-a65e-326e295a0a90","fc584704.JaSE11PrgISG.f1.017",17,"fc584704.JaSE11PrgISG.f1.017.xml",coursewide,,,SYBEX,"What is the command line used to compile the Java class <code>Wolf.java</code>, and what file does it generate?","Run: <code>javac Wolf.java</code> (and it generates <code>Wolf.class</code>)","01JBH40JM431T1VZ8KKQQM2PRH",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"c1f097ba-765a-4c4b-a913-084046f26e71","fc584704.JaSE11PrgISG.f1.018",18,"fc584704.JaSE11PrgISG.f1.018.xml",coursewide,,,SYBEX,"What is the command line to run the program contained in <code>Wolf.class</code>?","<code>java Wolf</code>","01JBH40JSFKCXWP3QJK3Y8Z5PW",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"f145857d-3691-4eea-8fad-f33d55b3a50d","fc584704.JaSE11PrgISG.f1.019",19,"fc584704.JaSE11PrgISG.f1.019.xml",coursewide,,,SYBEX,"What order do the class declarations, import statements, and package declaration go within a file?","The package declaration comes first, followed by imports, followed by the class declaration.","01JBH40JZBQWF0G6VY46FJ38QZ",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"2ddffc98-03c0-4429-b3b4-40ef21391fb4","fc584704.JaSE11PrgISG.f1.020",20,"fc584704.JaSE11PrgISG.f1.020.xml",coursewide,,,SYBEX,"What do JDK and JVM stand for?","<code>Java Development Kit and Java Virtual Machine</code>","01JBH40K4TGPZMRKV12V6T6BZH",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"9831a4da-40e1-4228-af8d-8c23ac6ba398","fc584704.JaSE11PrgISG.f1.021",21,"fc584704.JaSE11PrgISG.f1.021.xml",coursewide,,,SYBEX,"What are the instructions run by the JVM called?",<code>Bytecode</code>,"01JBH40K9WEZWTK9S663N15YGV",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"af09ac5d-fae4-4ec1-887e-4dcbf941f4ed","fc584704.JaSE11PrgISG.f1.022",22,"fc584704.JaSE11PrgISG.f1.022.xml",coursewide,,,SYBEX,"What are the three valid formats for comments?","<code>// /* */ and /** */</code>","01JBH40KF826TGNMYHPKF9ZG3J",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"a264554d-7de0-4930-b890-b7c457cb68c3","fc584704.JaSE11PrgISG.f1.023",23,"fc584704.JaSE11PrgISG.f1.023.xml",coursewide,,,SYBEX,"What does JAR stand for?","<code>Java Archive</code>","01JBH40KN8A2H1XXJ8YNT6GBXF",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"535dacbf-a15b-402d-a4d5-919baafad6e0","fc584704.JaSE11PrgISG.f1.024",24,"fc584704.JaSE11PrgISG.f1.024.xml",coursewide,,,SYBEX,"<code>var</code> can be used as the type for which of the following: instance variable, <code>static</code> variable, local variable, constructor parameter, method parameter?","<code>var</code> can be used only as a local variable. It can also be used as an identifier in variable and package names.","01JBH40KTDNFYVFP8CBRC1CDFP",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"873ad325-b91f-499d-8e96-577afbd884fd","fc584704.JaSE11PrgISG.f1.025",25,"fc584704.JaSE11PrgISG.f1.025.xml",coursewide,,,SYBEX,"Besides letters and numbers, what symbols are permitted to be used in identifiers?","<code>$</code> and <code>_</code>","01JBH40M1SCC1FB7SYHNW3GT94",
"a1654219-2f2d-4445-94d1-02b7f8658109",PROD,"041440eb-b125-41cf-b132-367829fdb52e","fc584704.JaSE11PrgISG.f1.026",26,"fc584704.JaSE11PrgISG.f1.026.xml",coursewide,,,SYBEX,"Which of the following are reserved words in Java? <code>and</code>, <code>const</code>, <code>goto</code>, <code>foreach</code>, <code>default</code>, <code>xor</code>","<code>const</code>, <code>goto</code>, <code>default</code>","01JBH40M7XGX8MR8BRC9QZFPQ5",
